Num2,Linear
10,2e-07
10,1.3e-07
10,7e-08
10,8e-08
10,1.8e-07
10,1.2e-07
10,9e-08
10,1.2e-07
10,7e-08
10,1.2e-07
20,2.1e-07
20,2.2e-07
20,1.4e-07
20,1e-07
20,2.2e-07
20,1.9e-07
20,2e-07
20,2.3e-07
20,1.3e-07
20,1e-07
30,8e-08
30,2.9e-07
30,1e-07
30,2.5e-07
30,1.3e-07
30,1e-07
30,3.3e-07
30,2.1e-07
30,1.4e-07
30,2.2e-07
40,1.9e-07
40,2.3e-07
40,6e-08
40,2.7e-07
40,2e-07
40,2.1e-07
40,2.9e-07
40,2.1e-07
40,1.2e-07
40,1e-07
50,1.7e-07
50,1.6e-07
50,3.5e-07
50,1.4e-07
50,3.2e-07
50,1.8e-07
50,1.4e-07
50,2.5e-07
50,2e-07
50,3.1e-07
60,3.4e-07
60,2.2e-07
60,3.4e-07
60,1.9e-07
60,2.8e-07
60,3e-07
60,1.8e-07
60,3.9e-07
60,2.7e-07
60,3.4e-07
70,1.4e-07
70,1e-07
70,2.8e-07
70,1.2e-07
70,4.7e-07
70,2.7e-07
70,3.5e-07
70,3.7e-07
70,2.2e-07
70,1.1e-07
80,6.4e-07
80,4.3e-07
80,6e-07
80,2.3e-07
80,7.8e-07
80,3.5e-07
80,3.9e-07
80,2.4e-07
80,5.9e-07
80,3.4e-07
90,3e-07
90,4.6e-07
90,4e-07
90,1.5e-07
90,2.3e-07
90,1.8e-07
90,1.8e-07
90,5.4e-07
90,8.4e-07
90,8.1e-07
100,8.8e-07
100,7.8e-07
100,7.5e-07
100,7e-07
100,4.9e-07
100,6.4e-07
100,4.1e-07
100,7.3e-07
100,1.3e-07
100,7.1e-07
110,6.8e-07
110,6.8e-07
110,1e-07
110,4.8e-07
110,4.5e-07
110,5.6e-07
110,8.4e-07
110,5.5e-07
110,4.5e-07
110,4.2e-07
120,3.4e-07
120,1.9e-07
120,8.3e-07
120,8.8e-07
120,5.3e-07
120,4.1e-07
120,2e-07
120,7e-08
120,8.7e-07
120,4.6e-07
130,1.2e-07
130,8.1e-07
130,1.7e-07
130,1.2e-06
130,3.9e-07
130,5.5e-07
130,1.15e-06
130,3.4e-07
130,1.3e-07
130,4.7e-07
140,1.9e-07
140,6e-07
140,3.5e-07
140,8e-08
140,7.5e-07
140,8.8e-07
140,1.2e-06
140,1.12e-06
140,2.8e-07
140,2e-07
150,8.6e-07
150,1.32e-06
150,1.28e-06
150,6.5e-07
150,1.29e-06
150,7.7e-07
150,8.3e-07
150,9.8e-07
150,8.9e-07
150,3.4e-07
160,1.6e-07
160,6.5e-07
160,1e-07
160,2.6e-07
160,1.1e-06
160,5.8e-07
160,7.1e-07
160,1.07e-06
160,1.36e-06
160,6.8e-07
170,3.6e-07
170,8.2e-07
170,1.4e-07
170,8.1e-07
170,5.2e-07
170,4.4e-07
170,8.8e-07
170,1.1e-07
170,4.2e-07
170,1.32e-06
180,1.4e-07
180,1.2e-06
180,7.2e-07
180,3.7e-07
180,1.59e-06
180,1.1e-07
180,2.2e-07
180,8.6e-07
180,8.4e-07
180,1.8e-07
190,3.8e-07
190,4.4e-07
190,3.2e-07
190,3.6e-07
190,8e-08
190,8e-08
190,4.6e-07
190,3.1e-07
190,5.6e-07
190,2.3e-07
200,7.8e-07
200,7.6e-07
200,7.3e-07
200,7.8e-07
200,1e-07
200,4.9e-07
200,1.3e-07
200,1.5e-07
200,8e-08
200,4e-07
210,2.4e-07
210,5.4e-07
210,4e-08
210,3.4e-07
210,2.5e-07
210,4.6e-07
210,6e-07
210,3.6e-07
210,4.5e-07
210,5e-08
220,6.1e-07
220,1.9e-07
220,5.9e-07
220,3.5e-07
220,1.1e-07
220,6.4e-07
220,5.5e-07
220,3.5e-07
220,8e-08
220,4.8e-07
230,2.1e-07
230,4e-07
230,5.4e-07
230,1.7e-07
230,8e-08
230,6.6e-07
230,6e-07
230,8e-08
230,3.4e-07
230,1e-07
240,4.1e-07
240,4.4e-07
240,9e-08
240,3.2e-07
240,4.2e-07
240,7.1e-07
240,6.5e-07
240,4.7e-07
240,1.8e-07
240,1.2e-07
250,1.5e-07
250,3.4e-07
250,6.9e-07
250,7e-08
250,1.4e-07
250,2.8e-07
250,6.9e-07
250,5.7e-07
250,4.1e-07
250,6.7e-07
260,5.4e-07
260,6.6e-07
260,2.3e-07
260,2.9e-07
260,6.1e-07
260,4.7e-07
260,7.3e-07
260,6e-07
260,6e-08
260,4e-07
270,1e-07
270,5.7e-07
270,1.1e-07
270,7e-08
270,2.9e-07
270,5.9e-07
270,4.5e-07
270,1.3e-07
270,5e-07
270,7.4e-07
280,1.2e-07
280,6e-08
280,5.3e-07
280,5.5e-07
280,6.2e-07
280,3.1e-07
280,5.3e-07
280,7e-07
280,4.1e-07
280,8e-08
290,8e-08
290,5e-07
290,9e-08
290,3.5e-07
290,8.3e-07
290,6.9e-07
290,3.3e-07
290,5.8e-07
290,9.7e-07
290,6.4e-07
300,3.1e-07
300,5.3e-07
300,5.1e-07
300,4.4e-07
300,8.6e-07
300,1.06e-06
300,9.5e-07
300,7.7e-07
300,6.2e-07
300,2.6e-07
310,7.1e-07
310,1.4e-07
310,6e-08
310,5e-08
310,6.1e-07
310,5.2e-07
310,4e-08
310,4.4e-07
310,5e-07
310,7.5e-07
320,1.5e-07
320,7.6e-07
320,4.2e-07
320,8.3e-07
320,4.5e-07
320,2.2e-07
320,9e-07
320,3.4e-07
320,7.3e-07
320,4.9e-07
330,7.8e-07
330,4.6e-07
330,1.9e-07
330,7e-08
330,2.6e-07
330,3.6e-07
330,1.5e-07
330,8.7e-07
330,3.2e-07
330,3e-07
340,1.6e-07
340,4.7e-07
340,2.4e-07
340,4.8e-07
340,2.1e-07
340,7.6e-07
340,4.1e-07
340,1.6e-07
340,6.9e-07
340,5.2e-07
350,7.7e-07
350,6e-07
350,8e-07
350,2.2e-07
350,6.1e-07
350,8.8e-07
350,1e-07
350,1.4e-07
350,1.1e-07
350,6.2e-07
360,2.9e-07
360,7.8e-07
360,9.3e-07
360,3.8e-07
360,7.8e-07
360,4.9e-07
360,3.7e-07
360,5.1e-07
360,7.6e-07
360,6e-07
370,9.8e-07
370,4.8e-07
370,9e-07
370,5.9e-07
370,2.3e-07
370,9e-08
370,1.7e-07
370,9.3e-07
370,9.4e-07
370,6.9e-07
380,6e-07
380,1.03e-06
380,1.1e-07
380,1e-06
380,3.4e-07
380,6.8e-07
380,7e-07
380,2.8e-07
380,1.5e-07
380,1.9e-07
390,1.01e-06
390,9.2e-07
390,4.1e-07
390,1.09e-06
390,4.8e-07
390,1.02e-06
390,6e-08
390,4e-08
390,1.06e-06
390,1.14e-06
400,8.9e-07
400,7e-07
400,8e-07
400,9.3e-07
400,1.9e-07
400,9.2e-07
400,1.17e-06
400,1.1e-06
400,5.8e-07
400,5.5e-07
410,9.2e-07
410,6.7e-07
410,7.5e-07
410,4.8e-07
410,9.9e-07
410,8.6e-07
410,4.5e-07
410,4.7e-07
410,8.7e-07
410,7.6e-07
420,1.01e-06
420,4e-08
420,1.12e-06
420,3e-08
420,4.6e-07
420,8.1e-07
420,1.13e-06
420,9.9e-07
420,2.6e-07
420,4.7e-07
430,8.6e-07
430,6.5e-07
430,7.4e-07
430,7.2e-07
430,8e-08
430,1.04e-06
430,7.8e-07
430,1.13e-06
430,4.8e-07
430,1.11e-06
440,1.11e-06
440,7.1e-07
440,6.4e-07
440,1.01e-06
440,1.1e-07
440,6e-08
440,7.4e-07
440,8.9e-07
440,7e-07
440,1.9e-07
450,1.27e-06
450,1.17e-06
450,1.13e-06
450,1.23e-06
450,1.8e-07
450,8.5e-07
450,5.7e-07
450,8.2e-07
450,9.8e-07
450,9.4e-07
460,5.8e-07
460,3.5e-07
460,1e-07
460,7.7e-07
460,1.08e-06
460,1.01e-06
460,1.22e-06
460,9.3e-07
460,1.28e-06
460,8.2e-07
470,8.6e-07
470,1.4e-07
470,8e-07
470,9.2e-07
470,1.07e-06
470,1.16e-06
470,1.07e-06
470,1.01e-06
470,2.5e-07
470,2.8e-07
480,8.4e-07
480,4.5e-07
480,1.27e-06
480,2.8e-07
480,1.28e-06
480,5.1e-07
480,1.7e-07
480,2.3e-07
480,9.5e-07
480,1.41e-06
490,1.14e-06
490,6e-08
490,1.16e-06
490,1.02e-06
490,1.44e-06
490,1.1e-07
490,2e-07
490,5.9e-07
490,7.7e-07
490,8.8e-07
500,8.6e-07
500,1.18e-06
500,8.6e-07
500,1.34e-06
500,8.8e-07
500,1.27e-06
500,1.6e-07
500,1.44e-06
500,7.3e-07
500,8.9e-07
510,9.3e-07
510,9.4e-07
510,3.1e-07
510,4.6e-07
510,1.42e-06
510,7e-07
510,3.6e-07
510,1.02e-06
510,4.5e-07
510,3.9e-07
520,4.6e-07
520,4.9e-07
520,3.1e-07
520,1.53e-06
520,1.43e-06
520,1.17e-06
520,5.3e-07
520,9.6e-07
520,7.2e-07
520,6e-07
530,4.5e-07
530,8.2e-07
530,2.7e-07
530,5e-08
530,5.7e-07
530,1.49e-06
530,8e-07
530,1.47e-06
530,3.5e-07
530,1.18e-06
540,5.9e-07
540,1.44e-06
540,9e-08
540,1.38e-06
540,1.05e-06
540,2.4e-07
540,1.42e-06
540,7e-08
540,2.1e-07
540,1.06e-06
550,3.7e-07
550,5e-08
550,1.06e-06
550,7.3e-07
550,8.4e-07
550,7.5e-07
550,6.9e-07
550,8.1e-07
550,1.21e-06
550,1.41e-06
560,4.5e-07
560,1.34e-06
560,1.16e-06
560,1.34e-06
560,8e-08
560,1.53e-06
560,8e-08
560,4.9e-07
560,2.4e-07
560,5.9e-07
570,6e-07
570,3.3e-07
570,3e-08
570,5.5e-07
570,1.5e-06
570,1.36e-06
570,8.1e-07
570,1.47e-06
570,4.3e-07
