Num4,Llinear
10,2.6e-07
30,2.7e-07
50,4.3e-07
70,4.9e-07
90,6.1e-07
110,7.2e-07
130,8.4e-07
150,9.6e-07
170,1.07e-06
190,1.19e-06
210,1.31e-06
230,1.42e-06
250,1.55e-06
270,1.66e-06
290,1.78e-06
310,1.9e-06
330,2.02e-06
350,2.13e-06
370,2.25e-06
390,2.37e-06
410,2.48e-06
430,2.61e-06
450,2.72e-06
470,3.27e-06
490,3.03e-06
510,3.08e-06
530,3.2e-06
550,3.35e-06
570,3.43e-06
590,3.55e-06
610,3.67e-06
630,3.78e-06
650,3.9e-06
670,4.02e-06
690,4.14e-06
710,4.25e-06
730,4.38e-06
750,4.49e-06
770,4.62e-06
790,4.73e-06
810,4.85e-06
830,4.96e-06
850,5.08e-06
870,5.19e-06
890,5.31e-06
910,5.43e-06
930,5.55e-06
950,5.67e-06
970,5.79e-06
990,5.91e-06
1010,6.03e-06
1030,6.14e-06
1050,6.26e-06
1070,6.38e-06
1090,6.5e-06
1110,6.67e-06
1130,6.73e-06
1150,6.85e-06
1170,6.96e-06
1190,7.09e-06
1210,7.21e-06
1230,9.42e-06
1250,7.46e-06
1270,7.56e-06
1290,7.67e-06
1310,7.79e-06
1330,5.27e-06
1350,5.35e-06
1370,5.43e-06
1390,5.5e-06
1410,5.61e-06
1430,5.66e-06
1450,5.74e-06
1470,5.82e-06
1490,5.9e-06
1510,6.02e-06
1530,3.75e-06
1550,3.8e-06
1570,3.85e-06
1590,3.9e-06
1610,3.95e-06
1630,3.97e-06
1650,4.03e-06
1670,4.09e-06
1690,4.15e-06
1710,5.17e-06
1730,5.28e-06
1750,5.43e-06
1770,5.53e-06
1790,5.4e-06
1810,5.7e-06
1830,5.53e-06
1850,5.65e-06
1870,5.78e-06
1890,5.92e-06
1910,5.95e-06
1930,6.03e-06
1950,6.05e-06
1970,6.16e-06
1990,6.14e-06
2010,6.31e-06
2030,6.35e-06
2050,5.04e-06
2070,6.47e-06
2090,6.48e-06
2110,6.49e-06
2130,6.8e-06
2150,6.66e-06
2170,5.41e-06
2190,5.42e-06
2210,5.46e-06
2230,5.51e-06
2250,5.57e-06
2270,5.61e-06
2290,5.68e-06
2310,6.83e-06
2330,5.76e-06
2350,7.38e-06
2370,5.88e-06
2390,7.35e-06
2410,7.41e-06
2430,7.57e-06
2450,7.5e-06
2470,7.66e-06
2490,7.67e-06
2510,7.77e-06
2530,1.144e-05
2550,7.95e-06
2570,7.959e-06
2590,8.06e-06
2610,8.08e-06
2630,6.51e-06
2650,6.55e-06
2670,6.6e-06
2690,6.64e-06
2710,6.79e-06
2730,6.82e-06
2750,6.86e-06
2770,6.93e-06
2790,6.97e-06
2810,7.02e-06
2830,7.06e-06
2850,7.11e-06
2870,7.18e-06
2890,7.22e-06
2910,7.29e-06
2930,7.27e-06
2950,7.58e-06
2970,7.37e-06
2990,7.42e-06
3010,7.49e-06
3030,7.54e-06
3050,7.57e-06
3070,7.62e-06
3090,7.66e-06
3110,7.74e-06
3130,7.78e-06
3150,7.81e-06
3170,7.879e-06
3190,7.91e-06
3210,7.98e-06
3230,8.08e-06
3250,8.08e-06
3270,8.12e-06
3290,8.16e-06
3310,8.21e-06
3330,8.27e-06
3350,8.33e-06
3370,8.36e-06
3390,8.41e-06
3410,8.5e-06
3430,8.52e-06
3450,8.56e-06
3470,8.62e-06
3490,8.67e-06
3510,8.72e-06
3530,8.76e-06
3550,8.81e-06
3570,8.85e-06
3590,8.92e-06
3610,8.95e-06
3630,9.01e-06
3650,9.05e-06
3670,9.1e-06
3690,9.16e-06
3710,9.2e-06
3730,9.27e-06
3750,9.33e-06
3770,9.35e-06
3790,9.41e-06
3810,9.44e-06
3830,9.5e-06
3850,9.55e-06
3870,9.609e-06
3890,9.66e-06
3910,9.69e-06
3930,9.749e-06
3950,9.81e-06
3970,9.84e-06
3990,9.91e-06
4010,9.97e-06
4030,1.001e-05
4050,1.005e-05
4070,1.01e-05
4090,1.014e-05
4110,1.013e-05
4130,1.029e-05
4150,1.031e-05
4170,1.035e-05
4190,1.039e-05
4210,1.045e-05
4230,1.049e-05
4250,1.059e-05
4270,1.059e-05
4290,1.065e-05
4310,1.069e-05
4330,1.074e-05
4350,1.079e-05
4370,1.085e-05
4390,1.09e-05
4410,1.093e-05
4430,1.1e-05
4450,1.103e-05
4470,1.109e-05
4490,1.223e-05
4510,1.119e-05
4530,1.126e-05
4550,1.128e-05
4570,1.134e-05
4590,1.138e-05
4610,1.142e-05
4630,1.15e-05
4650,1.153e-05
4670,1.157e-05
4690,1.163e-05
4710,1.1669e-05
4730,1.173e-05
4750,1.177e-05
4770,1.183e-05
4790,1.188e-05
4810,1.192e-05
4830,1.203e-05
4850,1.204e-05
4870,1.2069e-05
4890,1.213e-05
4910,1.218e-05
4930,1.224e-05
4950,1.228e-05
4970,1.231e-05
4990,1.236e-05
5010,1.243e-05
5030,1.25e-05
5050,1.251e-05
5070,1.257e-05
5090,1.262e-05
5110,1.267e-05
5130,1.274e-05
5150,1.276e-05
5170,1.283e-05
5190,1.286e-05
5210,1.293e-05
5230,1.299e-05
5250,1.301e-05
5270,1.308e-05
5290,1.314e-05
5310,1.318e-05
5330,1.321e-05
5350,1.328e-05
5370,1.333e-05
5390,1.336e-05
5410,1.343e-05
5430,1.35e-05
5450,1.352e-05
5470,1.357e-05
5490,1.36e-05
5510,1.368e-05
5530,1.371e-05
5550,1.376e-05
5570,1.383e-05
5590,1.386e-05
5610,1.392e-05
5630,1.399e-05
5650,1.4e-05
5670,1.404e-05
5690,1.411e-05
5710,1.416e-05
5730,1.422e-05
5750,1.426e-05
5770,1.432e-05
5790,1.437e-05
5810,1.44e-05
5830,1.445e-05
5850,1.45e-05
5870,1.456e-05
5890,1.462e-05
5910,1.466e-05
5930,1.469e-05
5950,1.476e-05
5970,1.479e-05
5990,1.484e-05
6010,1.491e-05
6030,1.494e-05
6050,1.499e-05
6070,1.699e-05
6090,1.494e-05
6110,1.497e-05
6130,1.501e-05
6150,1.506e-05
6170,1.512e-05
6190,1.519e-05
6210,1.522e-05
6230,1.526e-05
6250,1.539e-05
6270,1.547e-05
6290,1.551e-05
6310,1.556e-05
6330,1.555e-05
6350,1.671e-05
6370,1.569e-05
6390,1.574e-05
6410,1.58e-05
6430,1.584e-05
6450,1.589e-05
6470,1.587e-05
6490,1.589e-05
6510,1.605e-05
6530,1.611e-05
6550,1.615e-05
6570,1.619e-05
6590,1.624e-05
6610,1.62e-05
6630,1.624e-05
6650,1.629e-05
6670,1.642e-05
6690,1.65e-05
6710,1.656e-05
6730,1.66e-05
6750,1.655e-05
6770,1.668e-05
6790,1.672e-05
6810,1.678e-05
6830,1.683e-05
6850,1.687e-05
6870,1.694e-05
6890,1.697e-05
6910,1.695e-05
6930,1.7069e-05
6950,1.702e-05
6970,1.718e-05
6990,1.7239e-05
7010,1.726e-05
7030,1.732e-05
7050,1.737e-05
7070,1.732e-05
7090,1.7479e-05
7110,1.752e-05
7130,1.7559e-05
7150,1.762e-05
7170,1.765e-05
7190,1.765e-05
7210,1.776e-05
7230,1.7809e-05
7250,1.787e-05
7270,1.791e-05
7290,1.7969e-05
7310,1.793e-05
7330,1.805e-05
7350,1.813e-05
7370,1.815e-05
7390,1.821e-05
7410,1.824e-05
7430,1.83e-05
7450,1.835e-05
7470,1.842e-05
7490,1.847e-05
7510,1.841e-05
7530,1.847e-05
7550,1.861e-05
7570,1.864e-05
7590,1.871e-05
7610,1.875e-05
7630,1.88e-05
7650,1.886e-05
7670,1.893e-05
7690,1.895e-05
7710,1.901e-05
7730,1.903e-05
7750,1.911e-05
7770,1.915e-05
7790,1.918e-05
7810,1.926e-05
7830,1.929e-05
7850,1.935e-05
7870,1.9389e-05
7890,1.943e-05
7910,1.947e-05
7930,1.945e-05
7950,1.959e-05
7970,1.964e-05
7990,1.9679e-05
8010,1.975e-05
8030,1.981e-05
8050,1.984e-05
8070,1.988e-05
8090,1.9949e-05
8110,2.003e-05
8130,2.003e-05
8150,2.008e-05
8170,2.014e-05
8190,2.018e-05
8210,2.024e-05
8230,2.029e-05
8250,2.036e-05
8270,2.0379e-05
8290,2.041e-05
8310,2.048e-05
8330,2.054e-05
8350,2.057e-05
8370,2.064e-05
8390,2.057e-05
8410,2.0719e-05
8430,2.0789e-05
8450,2.081e-05
8470,2.087e-05
8490,2.091e-05
8510,2.098e-05
8530,2.1e-05
8550,2.303e-05
8570,2.111e-05
8590,2.114e-05
8610,2.123e-05
8630,2.1149e-05
8650,2.143e-05
8670,2.148e-05
8690,2.1399e-05
8710,2.145e-05
8730,2.15e-05
8750,2.155e-05
8770,2.16e-05
8790,2.166e-05
8810,2.172e-05
8830,2.174e-05
8850,2.1689e-05
8870,2.184e-05
8890,2.19e-05
8910,2.195e-05
8930,2.202e-05
8950,2.2049e-05
8970,2.21e-05
8990,2.208e-05
9010,2.221e-05
9030,2.224e-05
9050,2.228e-05
9070,2.2329e-05
9090,2.243e-05
9110,2.243e-05
9130,2.251e-05
9150,2.252e-05
9170,2.259e-05
9190,2.263e-05
9210,2.269e-05
9230,2.274e-05
9250,2.28e-05
9270,2.287e-05
9290,2.291e-05
9310,2.296e-05
9330,2.3029e-05
9350,2.305e-05
9370,2.306e-05
9390,2.313e-05
