Num5,LinearLM
10,1.8e-07
10,1e-07
10,1e-07
10,1.2e-07
10,7e-08
10,1.1e-07
10,1.1e-07
10,8e-08
10,1e-07
10,1.2e-07
20,1.9e-07
20,1.3e-07
20,1.7e-07
20,1.5e-07
20,1.2e-07
20,1.3e-07
20,1.3e-07
20,1.4e-07
20,1.2e-07
20,1.6e-07
30,2.3e-07
30,2.4e-07
30,1.8e-07
30,2e-07
30,1.6e-07
30,1.6e-07
30,1.6e-07
30,1.7e-07
30,1.7e-07
30,2e-07
40,1.7e-07
40,1.8e-07
40,1.8e-07
40,1.6e-07
40,1.6e-07
40,1.5e-07
40,1.6e-07
40,1.6e-07
40,1.4e-07
40,1.6e-07
50,1.9e-07
50,1.6e-07
50,1.6e-07
50,1.9e-07
50,1.8e-07
50,1.8e-07
50,1.8e-07
50,2e-07
50,1.9e-07
50,1.8e-07
60,2.1e-07
60,2.1e-07
60,2.1e-07
60,2.1e-07
60,1.9e-07
60,2.2e-07
60,2.1e-07
60,2.2e-07
60,2e-07
60,1.9e-07
70,2.3e-07
70,2.2e-07
70,2.3e-07
70,2.3e-07
70,2.1e-07
70,2.3e-07
70,2.2e-07
70,2.2e-07
70,2.1e-07
70,2.2e-07
80,2.6e-07
80,2.4e-07
80,2.4e-07
80,2.5e-07
80,2.3e-07
80,2.3e-07
80,2.3e-07
80,2.5e-07
80,2.3e-07
80,2.3e-07
90,2.6e-07
90,2.6e-07
90,2.6e-07
90,2.8e-07
90,2.7e-07
90,2.5e-07
90,2.5e-07
90,2.8e-07
90,2.8e-07
90,2.8e-07
100,2.8e-07
100,3e-07
100,3e-07
100,3e-07
100,2.9e-07
100,2.9e-07
100,3e-07
100,2.9e-07
100,3e-07
100,2.9e-07
110,3.1e-07
110,3e-07
110,3.1e-07
110,3e-07
110,3e-07
110,3e-07
110,3.2e-07
110,3e-07
110,3e-07
110,3e-07
120,3.4e-07
120,3.3e-07
120,3.3e-07
120,3.2e-07
120,3.3e-07
120,3.2e-07
120,3.2e-07
120,3.3e-07
120,3.3e-07
120,3.2e-07
130,3.5e-07
130,3.5e-07
130,3.5e-07
130,3.5e-07
130,3.8e-07
130,3.5e-07
130,3.6e-07
130,3.5e-07
130,3.7e-07
130,3.7e-07
140,3.8e-07
140,3.9e-07
140,3.9e-07
140,3.8e-07
140,3.8e-07
140,3.9e-07
140,3.9e-07
140,3.8e-07
140,4e-07
140,3.9e-07
150,4.1e-07
150,4.3e-07
150,4e-07
150,4.1e-07
150,3.9e-07
150,4e-07
150,4.1e-07
150,4e-07
150,3.9e-07
150,3.9e-07
160,4.1e-07
160,4.4e-07
160,4.4e-07
160,4.1e-07
160,4.2e-07
160,4.2e-07
160,4.2e-07
160,4.4e-07
160,4.2e-07
160,4.2e-07
170,4.5e-07
170,4.4e-07
170,4.5e-07
170,4.4e-07
170,4.6e-07
170,4.5e-07
170,4.4e-07
170,4.4e-07
170,4.6e-07
170,4.6e-07
180,4.6e-07
180,4.6e-07
180,4.6e-07
180,4.6e-07
180,4.6e-07
180,4.6e-07
180,4.8e-07
180,4.6e-07
180,4.6e-07
180,4.7e-07
190,4.9e-07
190,5.1e-07
190,4.9e-07
190,5e-07
190,4.8e-07
190,5e-07
190,4.89e-07
190,5.1e-07
190,4.8e-07
190,4.8e-07
200,5.2e-07
200,5.1e-07
200,5.1e-07
200,5.1e-07
200,5.1e-07
200,5.1e-07
200,5.1e-07
200,5.1e-07
200,5.3e-07
200,5.1e-07
210,5.3e-07
210,5.6e-07
210,5.3e-07
210,5.3e-07
210,5.3e-07
210,5.5e-07
210,5.4e-07
210,5.3e-07
210,5.3e-07
210,5.3e-07
220,5.5e-07
220,5.5e-07
220,5.6e-07
220,5.6e-07
220,5.5e-07
220,5.7e-07
220,5.6e-07
220,5.5e-07
220,5.6e-07
220,5.6e-07
230,5.8e-07
230,6e-07
230,5.9e-07
230,5.8e-07
230,5.8e-07
230,5.8e-07
230,5.8e-07
230,5.8e-07
230,5.9e-07
230,5.8e-07
240,6.1e-07
240,6e-07
240,6e-07
240,4.7e-07
240,4.7e-07
240,4.7e-07
240,4.7e-07
240,4.7e-07
240,4.7e-07
240,4.7e-07
250,4.9e-07
250,4.9e-07
250,5.1e-07
250,4.8e-07
250,4.9e-07
250,4.9e-07
250,4.9e-07
250,5e-07
250,4.9e-07
250,5.1e-07
260,5.1e-07
260,5.3e-07
260,5.1e-07
260,5.2e-07
260,5.1e-07
260,5.3e-07
260,5.1e-07
260,5.1e-07
260,5e-07
260,5.1e-07
270,5.2e-07
270,5.3e-07
270,5.3e-07
270,5.3e-07
270,5.2e-07
270,5.4e-07
270,5.2e-07
270,7.9e-07
270,5.2e-07
270,5.2e-07
280,5.5e-07
280,5.5e-07
280,7.5e-07
280,7.4e-07
280,7.4e-07
280,8.1e-07
280,8.3e-07
280,7.7e-07
280,7.9e-07
280,7.6e-07
290,7.7e-07
290,4.7e-07
290,4.7e-07
290,4.8e-07
290,4.7e-07
290,4.7e-07
290,5.4e-07
290,4.8e-07
290,5.1e-07
290,5.4e-07
300,5.5e-07
300,3.6e-07
300,3.6e-07
300,3.5e-07
300,3.6e-07
300,3.5e-07
300,3.6e-07
300,3.6e-07
300,3.6e-07
300,3.5e-07
310,3.7e-07
310,3.6e-07
310,3.7e-07
310,3.7e-07
310,3.7e-07
310,3.7e-07
310,4.6e-07
310,3.7e-07
310,3.7e-07
310,3.7e-07
320,3.8e-07
320,3.8e-07
320,3.8e-07
320,5.2e-07
320,5.2e-07
320,3.8e-07
320,3.8e-07
320,3.8e-07
