Num1,Ordenament per barreja
10,1.72e-06
10,1.39e-06
10,1.11e-06
10,1.2e-06
10,1.07e-06
10,1.07e-06
10,1.12e-06
10,1.07e-06
10,1.2e-06
10,1.18e-06
20,2.88e-06
20,2.88e-06
20,2.63e-06
20,2.7e-06
20,2.49e-06
20,2.51e-06
20,2.62e-06
20,2.65e-06
20,2.66e-06
20,2.649e-06
30,4.87e-06
30,4.63e-06
30,4.29e-06
30,4.47e-06
30,4.199e-06
30,4.22e-06
30,4.39e-06
30,4.05e-06
30,4.009e-06
30,4.15e-06
40,5.24e-06
40,4.93e-06
40,4.89e-06
40,4.97e-06
40,4.72e-06
40,4.74e-06
40,4.55e-06
40,4.7e-06
40,4.729e-06
40,4.71e-06
50,6.979e-06
50,6.709e-06
50,6.319e-06
50,6.2e-06
50,6.12e-06
50,6.69e-06
50,6.51e-06
50,6.18e-06
50,6.17e-06
50,6.29e-06
60,7.95e-06
60,8.039e-06
60,7.69e-06
60,8.01e-06
60,7.59e-06
60,7.639e-06
60,7.55e-06
60,7.58e-06
60,7.34e-06
60,7.69e-06
70,9.99e-06
70,9.48e-06
70,9.519e-06
70,9.14e-06
70,9.409e-06
70,9.03e-06
70,9.05e-06
70,9.259e-06
70,9.16e-06
70,9.419e-06
80,1.086e-05
80,1.0629e-05
80,1.084e-05
80,1.0649e-05
80,1.044e-05
80,1.0649e-05
80,1.021e-05
80,1.041e-05
80,1.008e-05
80,1.032e-05
90,1.3009e-05
90,1.271e-05
90,1.237e-05
90,1.2439e-05
90,1.2249e-05
90,1.231e-05
90,1.267e-05
90,1.2309e-05
90,1.215e-05
90,1.241e-05
100,1.394e-05
100,1.384e-05
100,1.3989e-05
100,1.3769e-05
100,1.3949e-05
100,1.382e-05
100,1.4419e-05
100,1.3909e-05
100,1.4189e-05
100,1.3999e-05
110,1.6149e-05
110,1.5989e-05
110,1.5809e-05
110,1.543e-05
110,1.566e-05
110,1.597e-05
110,1.547e-05
110,1.5939e-05
110,1.5559e-05
