Num1,Ordenament per barreja
10,1.58e-06
20,2.22e-06
30,3.61e-06
40,4.63e-06
50,6.42e-06
60,7.2e-06
70,8.97e-06
80,1.008e-05
90,1.179e-05
100,1.348e-05
110,1.467e-05
120,1.6189e-05
130,1.721e-05
140,1.939e-05
150,2.059e-05
160,2.205e-05
170,2.364e-05
180,2.537e-05
190,2.6849e-05
200,2.8579e-05
210,3.032e-05
220,3.2079e-05
230,3.324e-05
240,3.4689e-05
250,3.607e-05
260,3.8189e-05
270,4.0519e-05
280,4.2139e-05
290,4.334e-05
300,4.573e-05
310,4.682e-05
320,4.836e-05
330,5.024e-05
340,5.2939e-05
350,5.4139e-05
360,5.556e-05
370,5.6429e-05
380,5.7159e-05
390,5.9009e-05
400,6.1649e-05
410,6.3879e-05
420,6.7219e-05
430,6.8079e-05
440,6.9979e-05
450,7.1219e-05
460,7.3169e-05
470,7.5419e-05
480,7.6789e-05
490,7.8559e-05
500,8.0399e-05
510,8.0969e-05
520,8.3039e-05
530,8.5949e-05
540,8.9129e-05
550,8.9509e-05
560,9.1979e-05
570,9.3519e-05
580,9.3968e-05
590,9.6339e-05
600,9.8469e-05
610,9.9509e-05
620,0.000101779
630,0.000102529
640,0.000104209
650,6.278e-05
660,5.296e-05
670,5.313e-05
680,5.5069e-05
690,5.5669e-05
700,5.6149e-05
710,5.7699e-05
720,5.8189e-05
730,5.875e-05
740,5.9969e-05
750,6.0529e-05
760,6.107e-05
770,6.2219e-05
780,6.3459e-05
790,6.4719e-05
800,6.515e-05
810,6.6919e-05
820,6.7209e-05
830,6.9039e-05
840,7.3359e-05
850,7.0339e-05
860,7.2009e-05
870,7.2959e-05
880,7.2509e-05
890,7.4189e-05
900,7.4539e-05
910,7.5429e-05
920,7.5729e-05
930,7.6809e-05
940,8.0579e-05
950,7.9239e-05
960,7.9848e-05
970,8.6009e-05
980,8.2298e-05
990,8.2759e-05
1000,8.6879e-05
1010,8.4829e-05
1020,8.5179e-05
1030,8.5969e-05
1040,8.7998e-05
1050,8.9749e-05
1060,9.0489e-05
1070,9.1059e-05
1080,9.1989e-05
1090,9.2319e-05
1100,9.4059e-05
1110,9.4598e-05
1120,9.7068e-05
1130,9.7909e-05
1140,9.7159e-05
1150,9.8079e-05
1160,9.8919e-05
1170,9.8989e-05
1180,0.000100248
1190,0.000101969
1200,0.000102939
1210,0.000106248
1220,0.000104699
1230,0.000105658
1240,0.000106689
1250,0.000107319
1260,0.000108849
1270,0.000108238
1280,0.000111978
1290,0.000111058
1300,0.000111419
1310,0.000114099
1320,0.000115259
1330,0.000115089
1340,0.000116659
1350,0.000117869
1360,0.000118518
1370,0.000119188
1380,0.000120288
1390,0.000122129
1400,0.000122079
1410,0.000127998
1420,0.000123889
1430,0.000133988
1440,0.000127179
1450,0.000130538
1460,0.000127219
1470,0.000137618
1480,0.000130848
1490,0.000133389
1500,0.000131199
1510,0.000131308
1520,0.000132628
1530,0.000133958
1540,0.000134888
1550,0.000135338
1560,0.000137128
1570,0.000137028
1580,0.000138828
1590,0.000140738
1600,0.000144568
1610,0.000142718
1620,0.000144368
1630,0.000145888
1640,0.000148138
1650,0.000148418
1660,0.000147318
1670,0.000149218
1680,0.000151118
1690,0.000155158
1700,0.000151368
1710,0.000153908
1720,0.000155818
1730,0.000155278
1740,0.000155928
1750,0.000156708
1760,0.000157288
1770,0.000159188
1780,0.000159648
